ID,Name,Date,Time,Latitude,Longitude,Maximum Wind,Status,Estimated Central Pressure,Pressure Drop
A1,AMPHAN,20200516,0,10.4N,87.0E,25,D,1000,3
A1,AMPHAN,20200516,300,10.7N,86.5E,25,D,1000,3
A1,AMPHAN,20200516,600,10.9N,86.3E,25,D,1000,3
A1,AMPHAN,20200516,900,10.9N,86.3E,30,DD,998,5
A1,AMPHAN,20200516,1200,10.9N,86.3E,35,CS,996,7
A1,AMPHAN,20200516,1500,11.0N,86.2E,40,CS,995,8
A1,AMPHAN,20200516,1800,11.1N,86.1E,40,CS,995,8
A1,AMPHAN,20200516,2100,11.3N,86.1E,45,CS,994,10
A1,AMPHAN,20200517,0,11.4N,86.0E,45,CS,993,11
A1,AMPHAN,20200517,300,11.4N,86.0E,50,SCS,990,12
A1,AMPHAN,20200517,600,11.5N,86.0E,55,SCS,988,15
A1,AMPHAN,20200517,900,11.7N,86.0E,65,VSCS,980,22
A1,AMPHAN,20200517,1200,12.0N,86.0E,70,VSCS,978,25
A1,AMPHAN,20200517,1500,12.8N,86.2E,75,VSCS,972,28
A1,AMPHAN,20200517,1800,12.5N,86.1E,80,VSCS,970,32
A1,AMPHAN,20200517,2100,12.9N,86.4E,90,ESCS,962,40
A1,AMPHAN,20200518,0,13.2N,86.3E,100,ESCS,952,50
A1,AMPHAN,20200518,300,13.3N,86.2E,115,ESCS,936,66
A1,AMPHAN,20200518,600,13.4N,86.2E,120,SuCS,930,72
A1,AMPHAN,20200518,900,13.7N,86.2E,120,SuCS,930,72
A1,AMPHAN,20200518,1200,14.0N,86.3E,125,SuCS,926,76
A1,AMPHAN,20200518,1500,14.5N,86.4E,125,SuCS,926,76
A1,AMPHAN,20200518,1800,14.9N,86.5E,130,SuCS,920,84
A1,AMPHAN,20200518,2100,15.2N,86.6E,130,SuCS,920,84
A1,AMPHAN,20200519,0,15.6N,86.7E,125,SuCS,926,76
A1,AMPHAN,20200519,300,16.0N,86.8E,120,SuCS,930,72
A1,AMPHAN,20200519,600,16.5N,86.9E,115,ESCS,936,66
A1,AMPHAN,20200519,900,17.0N,86.9E,110,ESCS,942,60
A1,AMPHAN,20200519,1200,17.4N,87.0E,105,ESCS,946,56
A1,AMPHAN,20200519,1500,18.1N,87.1E,100,ESCS,948,50
A1,AMPHAN,20200519,1800,18.4N,87.2E,100,ESCS,948,50
A1,AMPHAN,20200519,2100,18.7N,87.2E,100,ESCS,948,50
A1,AMPHAN,20200520,0,19.1N,87.5E,95,ESCS,952,46
A1,AMPHAN,20200520,300,19.8N,87.7E,95,ESCS,954,44
A1,AMPHAN,20200520,600,20.6N,88.0E,90,ESCS,956,42
A1,AMPHAN,20200520,900,21.4N,88.1E,90,ESCS,960,42
A1,AMPHAN,20200520,1200,21.9N,88.4E,85,VSCS,957,36
A1,AMPHAN,20200520,1500,22.7N,88.6E,65,VSCS,968,34
A1,AMPHAN,20200520,1800,23.3N,89.0E,50,SCS,978,14
A1,AMPHAN,20200520,2100,24.2N,89.0E,45,CS,986,12
A1,AMPHAN,20200520,0,24.2N,89.3E,40,CS,988,10
A1,AMPHAN,20200521,300,24.7N,89.5E,35,CS,990,8
A1,AMPHAN,20200521,600,25.0N,89.6E,30,DD,992,6
A1,AMPHAN,20200521,1200,25.4N,89.6E,20,D,995,4
A2,NISARGA,20200601,0,13.0N,71.4E,25,D,1004,3
A2,NISARGA,20200601,300,13.2N,71.4E,25,D,1004,3
A2,NISARGA,20200601,600,13.7N,71.3E,25,D,1004,3
A2,NISARGA,20200601,1200,14.2N,71.2E,25,D,1003,4
A2,NISARGA,20200601,1800,14.4N,71.2E,25,D,1003,4
A2,NISARGA,20200602,0,15.0N,71.2E,30,DD,1000,6
A2,NISARGA,20200602,300,15.3N,71.2E,30,DD,1000,6
A2,NISARGA,20200602,600,15.6N,71.2E,35,CS,999,7
A2,NISARGA,20200602,900,16.0N,71.2E,35,CS,999,7
A2,NISARGA,20200602,1200,16.3N,71.3E,40,CS,996,8
A2,NISARGA,20200602,1500,16.0N,71.4E,40,CS,996,8
A2,NISARGA,20200602,1800,16.8N,71.6E,40,CS,996,8
A2,NISARGA,20200602,2100,17.1N,71.8E,45,CS,994,10
A2,NISARGA,20200603,0,17.3N,72.1E,50,SCS,992,12
A2,NISARGA,20200603,300,17.6N,72.3E,55,SCS,988,16
A2,NISARGA,20200603,600,18.1N,72.8E,60,SCS,984,20
A2,NISARGA,20200603,900,18.5N,73.2E,55,SCS,992,14
A2,NISARGA,20200603,1200,19.0N,73.7E,40,CS,998,8
A2,NISARGA,20200603,1500,19.6N,74.0E,30,DD,1000,6
